county,sub_county,ward,facility_code,facility_name,keph_level,operation_status,lat,lon,available_chws,ward_population,vulnerability_score,under5_share,distance_to_level3_km,terrain_class,phc_access_1h_share,travel_friction_phc_1h,stunting_u5_pct,wasting_u5_pct,underweight_u5_pct,facility_delivery_pct,skilled_delivery_pct,anc4_pct,maternal_risk_index,hh_itn_ownership_pct,malaria_itn_gap_pct,ccri_malaria_pf_score,ccri_riverine_flood_score,ccri_drought_score,ccri_food_insecurity_score,ccri_child_nutrition_score,ccri_maternal_health_score,ccri_risk_index,flood_risk_flag,seasonal_mobility_flag,chw_monthly_stipend_kes,anc_skilled_pct,poverty_overall_pct,linked_chu_count,real_chw_headcount,adm2_match_level,adm2_pcode,adm2_name
GARISSA,garissa,IFTIN,24035.0,Antaliya Hospital,Level 4,Operational,0.7640011,39.3096495,6,12800,0.85,0.14363793869304695,0.0,arid,0.5778061924502605,0.42219380754973956,9.0,15.3,14.1,61.4,68.1,31.2,38.6,19.7,80.3,7.8,6.0,9.4,10.0,4.9,9.6,8.4,1.0,1,5000,77.5,67.8,0,,county_mean,,
MANDERA,mandera south,SHIMBIR FATUMA,24028.0,Chachabole Dispensary,Level 2,Operational,3.16894,40.0978592,2,12100,0.9,0.1904437541067638,213.769,arid,0.5476866233886865,0.45231337661131354,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009042,Mandera South
MARSABIT,saku,SAGANTE/JALDESA,24076.0,Jaldesa Dispensary,Level 2,Operational,3.5244107,39.0710346,2,11000,0.92,0.14238372663895527,0.0,arid,1.0,0.0,18.9,20.4,25.9,59.3,68.7,67.1,40.7,27.1,72.9,8.3,4.8,5.9,10.0,4.8,6.6,8.1,1.0,1,5000,93.8,66.1,0,,subcounty_exact,KE010047,Saku
MARSABIT,north horr,TURBI,23964.0,Segel Dispensary,Level 2,Operational,3.5244107,39.0710346,2,8800,0.92,0.11560098828371891,0.0,arid,0.03895154171215453,0.9610484582878455,18.9,20.4,25.9,59.3,68.7,67.1,40.7,27.1,72.9,8.3,4.8,5.9,10.0,4.8,6.6,8.1,1.0,1,5000,93.8,66.1,0,,subcounty_exact,KE010046,North Horr
KILIFI,kilifi north,TEZO,23958.0,Zowerani Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,22000,0.76,0.1288760154851222,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003011,Kilifi North
TANA RIVER,GARSEN,KIPINI WEST,23939.0,Mandingo Dispensary,Level 2,Operational,-1.0182385,39.793616,2,10500,0.86,0.16186862077990055,18.955,arid,1.0,0.0,21.1,11.3,16.8,51.1,59.2,61.2,48.9,71.3,28.7,7.5,9.7,8.7,10.0,5.9,10.0,8.0,1.0,1,5000,95.3,66.7,1,,subcounty_exact,KE004018,Garsen
KILIFI,rabai,RURUMA,23924.0,Chilodi CrossFit Health Centre,Level 3,Operational,-3.4754826,39.7474738,4,22000,0.76,0.12527744948257474,0.0,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,0.0,0,5000,99.3,,1,,subcounty_exact,KE003014,Rabai
KWALE,msambweni,UKUNDA,23902.0,Bondeni Medical Clinic,Level 2,Operational,-4.2945303,39.5630696,2,28900,0.8,0.1214771089299197,5.753,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002007,Msambweni
MANDERA,banissa,MALKAMARI,23819.0,DORMAL DISPENSARY,Level 2,Operational,3.16894,40.0978592,2,12100,0.9,0.2004659940560853,213.769,arid,0.0,1.0,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009040,Banissa
MANDERA,banissa,DERKHALE,23818.0,Kukub Dispensary,Level 2,Operational,3.16894,40.0978592,2,12100,0.9,0.2004659940560853,213.769,arid,0.0,1.0,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009040,Banissa
GARISSA,garissa,WABERI,23745.0,Waberi Hospital,Level 4,Operational,0.7640011,39.3096495,6,12800,0.85,0.14363793869304695,0.0,arid,0.5778061924502605,0.42219380754973956,9.0,15.3,14.1,61.4,68.1,31.2,38.6,19.7,80.3,7.8,6.0,9.4,10.0,4.9,9.6,8.4,1.0,1,5000,77.5,67.8,0,,county_mean,,
MARSABIT,laisamis,KARGI/SOUTH HORR,24277.0,Arge Dispensary,Level 2,Operational,3.5244107,39.0710346,2,11000,0.92,0.16039390545423807,0.0,arid,0.9338066961109585,0.06619330388904154,18.9,20.4,25.9,59.3,68.7,67.1,40.7,27.1,72.9,8.3,4.8,5.9,10.0,4.8,6.6,8.1,1.0,1,5000,93.8,66.1,0,,subcounty_exact,KE010048,Laisamis
KWALE,matuga,WaaNgombeni,23695.0,Bethany Dispensary,Level 2,Operational,-4.1898915,39.5632562,2,19800,0.8,0.13139450546197343,7.122,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002009,Matuga
KILIFI,malindi,SHELLA,23671.0,St Camillas Medical centre,Level 2,Operational,-3.2327384,40.1254902,2,22000,0.76,0.12831770034594672,0.0,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003016,Malindi
KILIFI,kaloleni,KALOLENI,23672.0,Holani Medical  Clinic,Level 2,Operational,-3.5226766,39.5291057,2,23400,0.76,0.13836680838586718,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KILIFI,kaloleni,KALOLENI,23666.0,Makomboani Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,23400,0.76,0.13836680838586718,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KILIFI,kaloleni,MARIAKANI,23653.0,Madzimbani Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,22000,0.76,0.13836680838586718,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KILIFI,kaloleni,KAYAFUNGO,23649.0,Mnyenzeni community medical clinic,Level 2,Operational,-3.5226766,39.5291057,2,22000,0.76,0.13836680838586718,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KILIFI,rabai,KAMBE/RIBE,23593.0,Mitsajeni Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,22000,0.76,0.12527744948257474,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,0.0,0,5000,99.3,,0,,subcounty_exact,KE003014,Rabai
KILIFI,kaloleni,MARIAKANI,23583.0,Misufini Medical Clinic,Level 2,Operational,-3.5226766,39.5291057,2,22000,0.76,0.13836680838586718,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KWALE,matuga,WaaNgombeni,23573.0,Efombo Medical Clinic,Level 2,Operational,-4.2945303,39.5630696,2,19800,0.8,0.13139450546197343,5.753,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002009,Matuga
GARISSA,garissa,GALBET,23518.0,Aljezeera Hospital,Level 4,Operational,0.7640011,39.3096495,6,12800,0.85,0.14363793869304695,0.0,arid,0.5778061924502605,0.42219380754973956,9.0,15.3,14.1,61.4,68.1,31.2,38.6,19.7,80.3,7.8,6.0,9.4,10.0,4.9,9.6,8.4,1.0,1,5000,77.5,67.8,0,,county_mean,,
GARISSA,garissa,IFTIN,23489.0,Garissa ENT Medical Centre,Level 3,Operational,-0.4835452,39.6508399,4,12800,0.85,0.14363793869304695,0.0,arid,0.5778061924502605,0.42219380754973956,9.0,15.3,14.1,61.4,68.1,31.2,38.6,19.7,80.3,7.8,6.0,9.4,10.0,4.9,9.6,8.4,1.0,1,5000,77.5,67.8,0,,county_mean,,
MARSABIT,moyale,URAN,23829.0,Elbor Dispensary,Level 2,Operational,3.5244107,39.0710346,2,11000,0.92,0.1650847170987961,0.0,arid,0.0819002420488537,0.9180997579511463,18.9,20.4,25.9,59.3,68.7,67.1,40.7,27.1,72.9,8.3,4.8,5.9,10.0,4.8,6.6,8.1,1.0,1,5000,93.8,66.1,0,,subcounty_exact,KE010045,Moyale
GARISSA,balambala,DANYERE,23459.0,Libahlow Dispensary,Level 2,Operational,0.3507864,40.1116395,2,12800,0.85,0.1425179211469534,41.666,arid,0.7055406212664277,0.2944593787335723,9.0,15.3,14.1,61.4,68.1,31.2,38.6,19.7,80.3,7.8,6.0,9.4,10.0,4.9,9.6,8.4,1.0,1,5000,77.5,67.8,0,,subcounty_exact,KE007028,Balambala
GARISSA,fafi,JARAJILA,23453.0,Asad Medical Centre,Level 3,Operational,-0.4835452,39.6508399,4,12800,0.85,0.142575550431571,0.0,arid,0.00034280817026139125,0.9996571918297386,9.0,15.3,14.1,61.4,68.1,31.2,38.6,19.7,80.3,7.8,6.0,9.4,10.0,4.9,9.6,8.4,1.0,1,5000,77.5,67.8,0,,subcounty_exact,KE007031,Fafi
KILIFI,kaloleni,KAYAFUNGO,21546.0,Kasemeni dispensary,Level 2,Operational,-3.4745903,39.5166723,2,22000,0.76,0.13836680838586718,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
